	Sentence	Unsupervised Metric	Classification
0	The emphasis of the New Testament is that Christ resisted the temptations thrown at him and it was this that qualified him for dying on the cross .	1.2853573293716352	True
1	Judge William Hannah sentenced him to three months imprisonment suspended for 12 months .	1.1436310432991188	True
2	He mounted the five steps to the front door and rang the bell .	1.3370468005302003	True
3	She was so ashamed of not remembering what had happened that she felt she must compensate him in some way , so she kissed his mouth and stroked his cheek .	1.0279092506077057	True
4	For a long time they thought it might have been dysentery , but thank goodness it did n't turn out to be that serious .	1.8422938558030653	True
5	Of the five other FIS officials accused , one was sentenced to six years ' imprisonment and four to four years each .	1.2186918868038161	True
6	Thank goodness it will be quite different in the country .	1.798734492426224	True
7	Amid the passionate cauldron generated by 80,000 supporters , who share the ground ( on this occasion Lazio played hosts ) the Romanista — the followers of Roma — were lighting their candles to celebrate a cherished victory .	0.8193902558087218	True
8	And as they planted crops such as barley and wheat , they sowed the seeds of a great Irish brewing tradition .	1.1904708029073987	True
9	He stood up , shrugging his broad shoulders into a thick sheepskin jacket .	2.1357693725140776	True
10	… The whole scene is in fact a kind of shorthand , since the film can not take ten real minutes to show someone smoking a cigarette to the last , which is the more natural behaviour of a worried man trying to think out a problem .	1.061359580472116	True
11	Athelstan bit his lip , cradling the blackjack in his hands , enjoying its coolness .	1.570084484643301	True
12	Theda bit her lip .	1.4816884351339301	True
13	""" What is that to me ? "" said the miller , shrugging his shoulders ."	2.2603901638072488	True
14	He rang the bell to her flat .	1.3397114260409206	True
15	The next minute Guido was out of the car and the young woman was in his arms , kissing him on both cheeks , obviously delighted to see him .	1.0409589504326708	True
16	She smoked more cigarettes than anybody I was ever to meet , and she cemented my loyalty to her with frequent presents of Airfix model aeroplanes .	1.0450720543371839	True
17	Thank goodness for sheep , thought the three little piggies as they trotted along in the sunshine .	1.8270357524860832	True
18	Such criticism Thurley argued , very convincingly , never bridges the gap between description and interpretation , which for Thurley involves evaluation .	1.2959669214082816	True
