	Sentence	Unsupervised Metric	Classification	Gold Standard
0	I beg your pardon ?	0.3214613414070117	True	True
1	‘ I beg your pardon ? ’	0.06806423158381425	True	True
2	‘ I beg your pardon ? ’	0.06806423158381425	True	True
3	‘ I beg your pardon , sir , Williams is not here at the moment .	0.06806423158381425	True	True
4	‘ I beg your pardon ? ’	0.06806423158381425	True	True
5	‘ Beg your pardon , miss .	0.06806423158381425	True	True
6	How the deuce — I beg your pardon , my love — do you manage to do it , Auguste ? ’	0.06806423158381425	True	True
7	‘ I beg your pardon ? ’	0.06806423158381425	True	True
8	‘ Yes , my lord — beg pardon , Mr Smith !	0.02387764090245933	True	True
9	I beg your pardon .	0.3306720240899738	True	True
10	‘ I beg your pardon ? ’	0.06806423158381425	True	True
11	The Bridgenorse , Bridgenorth I beg your pardon initiative is proceeding er , in terms of an advisory group , and we have as a committee , a Councillor Tony , a regional member , recently take , took the place of er , Councillor on that group , and he is willing to continue .	0.15608255506569635	True	True
12	‘ I beg your pardon ? ’	0.06806423158381425	True	True
13	Begging your pardon , Sir , but some of those alleged artists that get feted on BBC Two could paint no better than a monkey in the zoo .	0.23928928405722474	True	True
14	I beg your pardon ?	0.3214613414070117	True	True
15	I it 's oh it 's a nice noise , I beg your pardon .	0.2853147908199199	True	True
16	I do beg your pardon	0.8740869311877152	False	True
17	Oh I beg your pardon .	0.32207716246538753	True	True
18	As soon as that , beg your pardon .	0.29769251893011484	True	True
19	I can not get around now as I was once able to for my newspapers — but I stick to my policy now , as then , of wanting to see and size up would-be advertisers beforehand , so beg the pardon of the newcomers not included in my list .	0.09222534174624894	True	True
20	Was she begging his pardon ?	0.31341906933464997	True	True
21	Er Lot number eighty five number eighty five is the jade pendant Lot number eighty fi er Lot number eighty five , beg your pardon , it 's a vase there we are , the vase is showing for seventy pounds , at seventy , seventy five , eighty pounds at eighty pounds , eighty five , ninety ninety five , a hundred and ten a hundred and ten to my right one ten is offered and selling for one hundred and ten pounds .	0.13915000957275542	True	False
22	Five two three , I beg your pardon .	0.27417410341795306	True	True
23	I beg your pardon ?	0.3214613414070117	True	True
24	If he were simply bored , I should have thought , begging your pardon , that he could have found an occupation rather more civilized than grease-monkeying in Swindon — ’	0.06806423158381425	True	True
25	I beg your pardon John .	0.3050884865971241	True	True
26	I beg your pardon .	0.3306720240899738	True	True
27	I beg your pardon ?	0.3214613414070117	True	True
28	I beg your pardon ? ’	0.06806423158381425	True	True
29	‘ I beg your pardon ? ’ said Dolly haughtily .	0.06806423158381425	True	True
30	And , of course , as children erm , er so I think I can speak for the rest of the children around the base , the erm cigarettes , er not cigarettes , beg your pardon	0.6707846318094964	False	True
31	‘ I beg pardon , sir ?	0.02387764090245933	True	True
32	These Metropolitan County Councils erm I beg Your Lordships pardon , these Metropolitan County Authorities are composed entirely of councillors , representative districts and magistrates .	0.2696290138203481	True	True
33	With distant astonishment at her own efficiency , she heard her voice saying very clearly and reasonably : ‘ I do beg your pardon , but I came to you as the nearest house .	0.06806423158381425	True	True
34	‘ I beg your pardon !	0.06806423158381425	True	True
35	‘ I beg your pardon , but you have n't seen one of my senior pupils around anywhere , by any chance ?	0.06806423158381425	True	True
36	‘ I beg your pardon ? ’	0.06806423158381425	True	True
37	‘ I beg your pardon ?	0.06806423158381425	True	True
38	Sorry , beg your pardon , slip of the tongue , it 's six thousand .	0.22838296859265303	True	True
39	""" Not at all , I do beg your pardon , I 'll find you here , come with me . """	0.11623123840968591	True	True
40	I beg your pardon it 's good in n it ?	0.23781445854494587	True	True
41	Oh I beg your pardon .	0.32207716246538753	True	True
42	‘ I beg your pardon . ’	0.06806423158381425	True	True
43	‘ I beg your pardon ? ’	0.06806423158381425	True	True
