	Sentence	Unsupervised Metric	Classification
0	I beg your pardon ?	0.9790963311871779	True
1	‘ I beg your pardon ? ’	0.9046488773638383	True
2	‘ I beg your pardon ? ’	0.9046488773638383	True
3	‘ I beg your pardon , sir , Williams is not here at the moment .	0.9046488773638383	True
4	‘ I beg your pardon ? ’	0.9046488773638383	True
5	‘ Beg your pardon , miss .	0.9046488773638383	True
6	How the deuce — I beg your pardon , my love — do you manage to do it , Auguste ? ’	0.9046488773638383	True
7	‘ I beg your pardon ? ’	0.9046488773638383	True
8	‘ Yes , my lord — beg pardon , Mr Smith !	0.9394816792565605	True
9	I beg your pardon .	0.8558763883358428	True
10	‘ I beg your pardon ? ’	0.9046488773638383	True
11	The Bridgenorse , Bridgenorth I beg your pardon initiative is proceeding er , in terms of an advisory group , and we have as a committee , a Councillor Tony , a regional member , recently take , took the place of er , Councillor on that group , and he is willing to continue .	0.9610160562986967	True
12	‘ I beg your pardon ? ’	0.9046488773638383	True
13	Begging your pardon , Sir , but some of those alleged artists that get feted on BBC Two could paint no better than a monkey in the zoo .	0.889012884200813	True
14	I beg your pardon ?	0.9790963311871779	True
15	I it 's oh it 's a nice noise , I beg your pardon .	0.8795168901368028	True
16	I do beg your pardon	0.932634480559279	True
17	Oh I beg your pardon .	0.9006066416567938	True
18	As soon as that , beg your pardon .	0.9614735789119545	True
19	I can not get around now as I was once able to for my newspapers — but I stick to my policy now , as then , of wanting to see and size up would-be advertisers beforehand , so beg the pardon of the newcomers not included in my list .	0.9596633586069985	True
20	Was she begging his pardon ?	0.8939852969016048	True
21	Er Lot number eighty five number eighty five is the jade pendant Lot number eighty fi er Lot number eighty five , beg your pardon , it 's a vase there we are , the vase is showing for seventy pounds , at seventy , seventy five , eighty pounds at eighty pounds , eighty five , ninety ninety five , a hundred and ten a hundred and ten to my right one ten is offered and selling for one hundred and ten pounds .	0.9413768929757128	True
22	Five two three , I beg your pardon .	0.9663354207612878	True
23	I beg your pardon ?	0.9790963311871779	True
24	If he were simply bored , I should have thought , begging your pardon , that he could have found an occupation rather more civilized than grease-monkeying in Swindon — ’	0.9046488773638383	True
25	I beg your pardon John .	0.9625970583674492	True
26	I beg your pardon .	0.8558763883358428	True
27	I beg your pardon ?	0.9790963311871779	True
28	I beg your pardon ? ’	0.9046488773638383	True
29	‘ I beg your pardon ? ’ said Dolly haughtily .	0.9046488773638383	True
30	And , of course , as children erm , er so I think I can speak for the rest of the children around the base , the erm cigarettes , er not cigarettes , beg your pardon	0.9276649342690518	True
31	‘ I beg pardon , sir ?	0.9394816792565605	True
32	These Metropolitan County Councils erm I beg Your Lordships pardon , these Metropolitan County Authorities are composed entirely of councillors , representative districts and magistrates .	0.9055119904854376	True
33	With distant astonishment at her own efficiency , she heard her voice saying very clearly and reasonably : ‘ I do beg your pardon , but I came to you as the nearest house .	0.9046488773638383	True
34	‘ I beg your pardon !	0.9046488773638383	True
35	‘ I beg your pardon , but you have n't seen one of my senior pupils around anywhere , by any chance ?	0.9046488773638383	True
36	‘ I beg your pardon ? ’	0.9046488773638383	True
37	‘ I beg your pardon ?	0.9046488773638383	True
38	Sorry , beg your pardon , slip of the tongue , it 's six thousand .	0.86787609723328	True
39	""" Not at all , I do beg your pardon , I 'll find you here , come with me . """	0.8446581142770764	True
40	I beg your pardon it 's good in n it ?	0.9236483272306042	True
41	Oh I beg your pardon .	0.9006066416567938	True
42	‘ I beg your pardon . ’	0.9046488773638383	True
43	‘ I beg your pardon ? ’	0.9046488773638383	True
44	‘ I beg your pardon ? ’	0.9046488773638383	True
45	Tells you all about where we do our erm oh er beg your pardon four day training of course I should 've	0.8438059043459144	True
46	Four beg your pardon .	0.9368179022132548	True
47	If you compare the the positions one oh beg your pardon you 'll need that out .	0.9247981250179557	True
48	Oh I beg your pardon .	0.9006066416567938	True
49	I beg your pardon I beg your pardon twelve , these two things were separate you know one could be added to the other in looking an as it were at the total employment requirement .	0.9343088702604235	True
50	‘ I beg your pardon ? ’	0.9046488773638383	True
51	I beg your pardon ?	0.9790963311871779	True
52	Can I put it another way to you , that if houses are provided for people who have migrated from West Yorkshire to North Yorkshire , that the failure to provide for employment of an equivalent level , because I well appreciate we are not going to stop Mr Laycock driving or commute I beg your pardon commuting each day from Harrogate to Leeds , that failure failure to provide an adequate level of employment for those new residents would be contrary to the advice in P P G twelve and P P G 14 about reducing the need to travel ?	0.9281034335668336	True
53	I beg your pardon , I twelve .	0.9508096569783704	True
54	""" I beg your pardon ? """	1.0062902048692113	True
55	""" I beg your pardon ? """	1.0062902048692113	True
56	‘ I beg your pardon ? ’	0.9046488773638383	True
57	I beg your pardon	0.89964244359121	True
58	And they 'll they 'll anybody new in the estate agent in sta in staff terms they 'll let them look at that and say well that 's what Lynda 's here er sorry I beg your pardon	0.8705572114124636	True
59	Oh I beg your pardon the deposit cheque .	0.8912172638868492	True
60	Earle I beg your pardon , and I hesitate to raise any appeal decision .	0.9659364624508295	True
61	Beg your pardon .	0.9197934018731995	True
62	Beg your pardon ?	0.8858078796675019	True
63	Mm , beg your pardon	0.9274773534942172	True
64	Mr Farraday , however , simply looked up at me and said : ‘ I beg your pardon , Stevens ? ’	0.9046488773638383	True
65	sorry I saw it yes I beg your pardon , I 'm sorry	0.9076930872553279	True
66	‘ I beg your pardon ! ’	0.9046488773638383	True
67	‘ I beg your pardon ? ’	0.9046488773638383	True
68	‘ I beg your pardon , Miss Kenton ? ’	0.9046488773638383	True
69	‘ I beg your pardon , Miss Kenton ? ’	0.9046488773638383	True
70	‘ Oh , I do beg your pardon , sir . ’	0.9046488773638383	True
71	‘ I beg your pardon . ’	0.9046488773638383	True
72	I beg your pardon .	0.8558763883358428	True
73	right so it 's for the half year sorry , beg your pardon five million half year	0.9302534825344527	True
74	Or put Xs , I beg his pardon , put Xs against three sectors ?	0.977796964755952	True
75	Can you Beg you pardon	0.9315575547237963	True
76	‘ I beg your pardon ? ’	0.9046488773638383	True
77	‘ I beg your pardon ? ’	0.9046488773638383	True
78	‘ Then I beg your pardon , sir . ’	0.9046488773638383	True
79	‘ I beg your pardon , Miss Marlowe .	0.9046488773638383	True
80	‘ I beg your pardon .	0.9046488773638383	True
81	‘ I beg your pardon ? ’	0.9046488773638383	True
82	‘ I beg your pardon ? ’ gasped Theda , rising from her chair .	0.9046488773638383	True
83	‘ I — I beg your pardon , ’ faltered the ghost .	0.9046488773638383	True
84	‘ Oh , I beg your pardon , Rose .	0.9046488773638383	True
85	‘ I do beg your pardon — Mizz Butcher — would you come with me , please ? ’	0.9046488773638383	True
86	‘ I beg your pardon ?	0.9046488773638383	True
87	I beg her pardon	0.921549262955076	True
88	‘ Begging your pardon , Senator , but unearned wealth does not seem to have made McAllister — I mean Sally-Anne , you understand — happy . ’	0.9046488773638383	True
89	‘ I beg your pardon .	0.9046488773638383	True
90	‘ Begging your pardon again , sir .	0.9046488773638383	True
91	They will be restoring Dunblaine Castle — unless Havvie spends the lot on loose women , drink and gambling — begging your pardon for being frank , McAllister .	0.9046488773638383	True
92	‘ I beg your pardon , ladies !	0.9046488773638383	True
93	Wilson , writing to Mr Browning to report how his self-imposed charge fared , expressed the opinion that — he is not exactly mad , sir , begging your pardon , as unable to remember himself .	0.9046488773638383	True
94	She begged pardon at once for — being so free as to presume I will be read but then , ma'am , you must blame yourself for encouraging in me that letter-writing soul .	0.9394816792565605	True
95	He folded his arms , yawned , begged their pardon and smiled .	0.9932957068851822	True
96	No , beg your pardon !	0.9403532276477883	True
97	I beg your pardon ?	0.9790963311871779	True
98	I beg the hon. Gentleman 's pardon .	0.9220852341657653	True
99	‘ I beg your pardon .	0.9046488773638383	True
100	‘ I beg your pardon ? ’	0.9046488773638383	True
