	Sentence	Unsupervised Metric	Classification
0	The emphasis of the New Testament is that Christ resisted the temptations thrown at him and it was this that qualified him for dying on the cross .	1.3038193914797362	True
1	Judge William Hannah sentenced him to three months imprisonment suspended for 12 months .	1.3342373633507176	True
2	He mounted the five steps to the front door and rang the bell .	1.3459940107513992	True
3	She was so ashamed of not remembering what had happened that she felt she must compensate him in some way , so she kissed his mouth and stroked his cheek .	1.1137345275037434	True
4	For a long time they thought it might have been dysentery , but thank goodness it did n't turn out to be that serious .	1.7230151575924773	True
5	Of the five other FIS officials accused , one was sentenced to six years ' imprisonment and four to four years each .	1.3529046959373265	True
6	Thank goodness it will be quite different in the country .	1.6884108715148451	True
7	Amid the passionate cauldron generated by 80,000 supporters , who share the ground ( on this occasion Lazio played hosts ) the Romanista — the followers of Roma — were lighting their candles to celebrate a cherished victory .	0.8230441031444475	True
8	And as they planted crops such as barley and wheat , they sowed the seeds of a great Irish brewing tradition .	1.2271317940787003	True
9	He stood up , shrugging his broad shoulders into a thick sheepskin jacket .	2.2726603753835444	True
10	… The whole scene is in fact a kind of shorthand , since the film can not take ten real minutes to show someone smoking a cigarette to the last , which is the more natural behaviour of a worried man trying to think out a problem .	1.0503550315440973	True
11	Athelstan bit his lip , cradling the blackjack in his hands , enjoying its coolness .	1.7341624530962592	True
12	Theda bit her lip .	1.8243256869155302	True
13	""" What is that to me ? "" said the miller , shrugging his shoulders ."	2.2605400969533416	True
14	He rang the bell to her flat .	1.4336747819946738	True
15	The next minute Guido was out of the car and the young woman was in his arms , kissing him on both cheeks , obviously delighted to see him .	1.0711050635936943	True
16	She smoked more cigarettes than anybody I was ever to meet , and she cemented my loyalty to her with frequent presents of Airfix model aeroplanes .	1.0554357194504376	True
17	Thank goodness for sheep , thought the three little piggies as they trotted along in the sunshine .	1.6645628869003088	True
18	Such criticism Thurley argued , very convincingly , never bridges the gap between description and interpretation , which for Thurley involves evaluation .	1.2576511505766839	True
19	The six condemned to death , with another six who were sentenced to life imprisonment , went to the Supreme Court , whose five judges unanimously dismissed their appeals .	1.3635918305660033	True
20	Research Grant ( Project )	1.4568551514315833	True
21	So Julie smiled at us , in a half-proud , half-scared sort of way , that made her look more as if she was going to burst into tears , and marched up the street , pigtails bobbing , and over the main road to the bus-stop , and stood there gazing across at us with blank eyes while the traffic trundled backwards and forwards between us .	1.756950200523426	True
22	Research Grant ( Project )	1.4568551514315833	True
23	Resist the temptation to deposit money in currencies with a high interest rate , or borrow in currencies with a low interest rate , if there is no matching underlying cash flow in that currency .	1.3637028393743658	True
24	Paul Nicholson , harpsichord , is a familiar face in Tilford Church , last seen recently on television as a continuo player with the Choir of 16 in a broadcast from Dublin to celebrate the 200th anniversary of the first performance of Handel 's Messiah .	1.1473890190694407	True
25	Toby pursed his lips as he poured .	2.6369687474013843	True
26	Finally , it is worth mentioning the possibility that the traditional sadness and dejection with which the first crops were cut in Egypt , or the seed was sown in Greece and elsewhere originates in the same unconscious depressive complex .	1.234351568579687	True
27	Research Grant ( Project )	1.337881769709389	True
28	I gritted my teeth and nodded , refusing to be drawn .	2.4703153217474223	True
29	‘ Yes , my lord — beg pardon , Mr Smith !	2.2771713509004337	True
30	He was remanded in custody for a week .	1.6874706676446156	True
31	I beg your pardon , it does look like a Beech bowl does n't it ?	2.2574857089981584	True
32	The French boy pursed his lips suddenly in an expression of disgust .	2.695561042625239	True
33	From there the single line emerged onto the road , and along one side of it the train to West Cork would puff and blow at a brisk but not incautious pace , its smoke staining the leaves of the roadside trees , the guard ringing his bell almost without stop until they were approaching Carrigrohane and could reasonably expect to be out of range of busy pedestrians , excited children , and messenger boys on bicycles plaguing the engine-driver by trying to outspeed him .	1.4131812820471268	True
34	Research Grant ( Project )	1.337881769709389	True
35	Research Grant ( Project )	1.5390556231590242	True
36	‘ You 're a darling , Pogo , ’ Madeleine said , throwing her arms round his neck and kissing his cheek .	1.0512274883137742	True
37	Research Grant ( Personal )	1.3641965240108336	True
38	"In the western Amazonian town of Xapuri , Acre province , a cattle rancher , Darly Alves da Silva , 56 , and his son Darci Alves Pereire , 23 , were sentenced to 19 years ' imprisonment on Dec. 15 for the premeditated murder of Francisco "" Chico "" Mendes Filho , the internationally acclaimed environmentalist and leader of the seringueiros rubber-tappers ' union , who was murdered on Dec. 22 , 1988 [ see p. 36459 ] ."	1.4084433864742192	True
39	That did n't ring their bells either .	1.437294255479098	True
40	His ‘ friend ’ German chancellor Helmut Kohl led the unexpected push at the Edinburgh Summit to make Britain and Denmark ratify the Maastricht Treaty by July .	1.2671383214122112	True
41	’ Thank goodness I 've got through to you at last .	1.6691310878686556	True
42	When the press were allowed to interview the star-spangled jailbird , Mitchum said , ‘ Yes , boys , I was smoking a marijuana cigarette when they came in . ’	1.0815292406391075	True
43	I beg your pardon ?	2.3333054979607177	True
44	I it 's oh it 's a nice noise , I beg your pardon .	2.2730472057279743	True
45	""" Well , I 'm not quite sure that she might n't burst into tears , or perhaps suddenly take all her clothes off "" This had actually once happened to Richard at Nestor and Sage , the investment counsellors where he worked ."	1.7684453235600084	True
46	Becky burst into tears .	1.8212693379341753	True
47	A FURNITURE recycling scheme celebrating its first anniversary has established itself as a lifeline for a town 's needy families .	1.0729434854029096	True
48	she rang it and this bell started going	1.391826680952792	True
49	It is calling for a public education campaign to bridge the gap and help people prepare for caring in advance .	1.222953670547685	True
50	He shuffled his feet and pursed his lips , trying to conceal his embarrassment and surprise at this dangerous , clever English clerk .	2.640752077533496	True
51	Or the Christmas Tree which we light with candles and bedeck with gifts to announce the rebirth of the sun .	0.7583402533574275	True
52	Mandeville bit his lip .	1.8273498539889488	True
53	Research Grant ( Project )	1.337881769709389	True
54	At the time of my infarct I was three stone overweight , smoked 60 cigarettes a day , hated health food ; my idea of a perfect dinner was a plateful of greasy cholesterol .	1.0420745432325649	True
55	She tried to follow and almost fell down the stairs , gritting her teeth to prevent herself passing out .	2.447058112228609	True
56	’ You light the candle . ’	0.814763743032205	True
57	‘ No , thank goodness .	1.7853778343206614	True
58	Billy kissed me on the cheek an' I got all silly an' decided 'e was too forward , ’ she said , not divulging to Annie what happened later , when they were walking home and Billy tried to make love to her .	1.0800484406039037	True
59	That temptation should be resisted .	1.3497887176654408	True
60	‘ I beg your pardon , Miss Marlowe .	2.3145385084977157	True
61	Meredith bit her lip .	1.824201830036241	True
62	‘ Oh , I beg your pardon , Rose .	2.313158327923822	True
63	To ask the Secretary of State for the Home Department whether he will make a statement on the guidelines for the period of imprisonment to be served before prisoners sentenced to life imprisonment will be released on licence .	1.3361471324563208	True
64	I beg your pardon ?	2.3634887530881263	True
65	She bit on her bottom lip as he moved into her roughly , his breath coming faster and changing to a pant .	1.699693121645467	True
66	If it was someone else they 're hardly likely to ring the door bell with Jim standing beside the front door , are they ?	1.355555187256913	True
67	No , no deaths thank goodness .	1.7827647335808008	True
68	ORGANISERS of a service aimed at reuniting lost pets with their owners have just celebrated the group 's first anniversary .	1.0495493650222811	True
