	Sentence	Unsupervised Metric	Classification
0	The emphasis of the New Testament is that Christ resisted the temptations thrown at him and it was this that qualified him for dying on the cross .	0.20519290118955785	True
1	Judge William Hannah sentenced him to three months imprisonment suspended for 12 months .	0.28252385237938105	True
2	He mounted the five steps to the front door and rang the bell .	0.3092088224470825	True
3	She was so ashamed of not remembering what had happened that she felt she must compensate him in some way , so she kissed his mouth and stroked his cheek .	0.31096967630513567	True
4	For a long time they thought it might have been dysentery , but thank goodness it did n't turn out to be that serious .	0.1477306611496231	True
5	Of the five other FIS officials accused , one was sentenced to six years ' imprisonment and four to four years each .	0.2970464171517987	True
6	Thank goodness it will be quite different in the country .	0.23093660652054826	True
7	Amid the passionate cauldron generated by 80,000 supporters , who share the ground ( on this occasion Lazio played hosts ) the Romanista — the followers of Roma — were lighting their candles to celebrate a cherished victory .	0.0648892608581394	True
8	And as they planted crops such as barley and wheat , they sowed the seeds of a great Irish brewing tradition .	0.25518495220776233	True
9	He stood up , shrugging his broad shoulders into a thick sheepskin jacket .	0.28849140855923194	True
10	… The whole scene is in fact a kind of shorthand , since the film can not take ten real minutes to show someone smoking a cigarette to the last , which is the more natural behaviour of a worried man trying to think out a problem .	0.08342896827064214	True
11	Athelstan bit his lip , cradling the blackjack in his hands , enjoying its coolness .	0.19158471316784198	True
12	Theda bit her lip .	0.2604938434847042	True
13	As many Tory candidates and canvassers noted during the past few days , thousands of voters were shrugging their shoulders and saying : ‘ We do n't like you , but ’ ( said with a sigh ) ‘ we 'll have to vote for you .	0.10930369046712472	True
14	He rang the bell to her flat .	0.3036175011016213	True
15	The next minute Guido was out of the car and the young woman was in his arms , kissing him on both cheeks , obviously delighted to see him .	0.18802074309318925	True
16	She smoked more cigarettes than anybody I was ever to meet , and she cemented my loyalty to her with frequent presents of Airfix model aeroplanes .	0.21252115462422988	True
17	Thank goodness for sheep , thought the three little piggies as they trotted along in the sunshine .	0.15570831982612274	True
18	Such criticism Thurley argued , very convincingly , never bridges the gap between description and interpretation , which for Thurley involves evaluation .	0.18979301484963276	True
19	The six condemned to death , with another six who were sentenced to life imprisonment , went to the Supreme Court , whose five judges unanimously dismissed their appeals .	0.2040365964411565	True
20	Research Grant ( Project )	0.4096498472360176	True
21	So Julie smiled at us , in a half-proud , half-scared sort of way , that made her look more as if she was going to burst into tears , and marched up the street , pigtails bobbing , and over the main road to the bus-stop , and stood there gazing across at us with blank eyes while the traffic trundled backwards and forwards between us .	0.11991758431197222	True
22	Research Grant ( Project )	0.4096498472360176	True
23	Resist the temptation to deposit money in currencies with a high interest rate , or borrow in currencies with a low interest rate , if there is no matching underlying cash flow in that currency .	0.2528255782838487	True
24	Paul Nicholson , harpsichord , is a familiar face in Tilford Church , last seen recently on television as a continuo player with the Choir of 16 in a broadcast from Dublin to celebrate the 200th anniversary of the first performance of Handel 's Messiah .	0.18316616574630284	True
25	Toby pursed his lips as he poured .	0.27948403142881934	True
26	Finally , it is worth mentioning the possibility that the traditional sadness and dejection with which the first crops were cut in Egypt , or the seed was sown in Greece and elsewhere originates in the same unconscious depressive complex .	0.20283087536900973	True
27	Research Grant ( Project )	0.4096498472360176	True
28	I gritted my teeth and nodded , refusing to be drawn .	0.2752075051159567	True
29	‘ Yes , my lord — beg pardon , Mr Smith !	0.02387764090245933	True
30	He was remanded in custody for a week .	0.2708866023800873	True
31	I beg your pardon , it does look like a Beech bowl does n't it ?	0.2644058250187791	True
