	Sentence	Unsupervised Metric	Classification	Gold Standard
0	I beg your pardon ?	0.6884310408796634	True	False
1	‘ I beg your pardon ? ’	0.67695606408912	True	True
2	‘ I beg your pardon ? ’	0.67695606408912	True	True
3	‘ I beg your pardon , sir , Williams is not here at the moment .	0.6035959419963444	True	True
4	‘ I beg your pardon ? ’	0.67695606408912	True	True
5	‘ Beg your pardon , miss .	0.6643206447579568	True	True
6	How the deuce — I beg your pardon , my love — do you manage to do it , Auguste ? ’	0.5844444069541691	True	True
7	‘ I beg your pardon ? ’	0.67695606408912	True	True
8	‘ Yes , my lord — beg pardon , Mr Smith !	0.6048449058985237	True	True
9	I beg your pardon .	0.6873093443505582	True	True
10	‘ I beg your pardon ? ’	0.67695606408912	True	True
11	The Bridgenorse , Bridgenorth I beg your pardon initiative is proceeding er , in terms of an advisory group , and we have as a committee , a Councillor Tony , a regional member , recently take , took the place of er , Councillor on that group , and he is willing to continue .	0.604707765918962	True	True
12	‘ I beg your pardon ? ’	0.67695606408912	True	True
13	Begging your pardon , Sir , but some of those alleged artists that get feted on BBC Two could paint no better than a monkey in the zoo .	0.5967877275200555	True	True
14	I beg your pardon ?	0.6884310408796634	True	False
15	I it 's oh it 's a nice noise , I beg your pardon .	0.6191106646419402	True	False
16	I do beg your pardon	0.6873583607289278	True	False
17	Oh I beg your pardon .	0.6770848259172392	True	False
18	As soon as that , beg your pardon .	0.6561888323848937	True	True
19	I can not get around now as I was once able to for my newspapers — but I stick to my policy now , as then , of wanting to see and size up would-be advertisers beforehand , so beg the pardon of the newcomers not included in my list .	0.6277614645008784	True	True
20	Was she begging his pardon ?	0.6936818946063719	True	True
21	Er Lot number eighty five number eighty five is the jade pendant Lot number eighty fi er Lot number eighty five , beg your pardon , it 's a vase there we are , the vase is showing for seventy pounds , at seventy , seventy five , eighty pounds at eighty pounds , eighty five , ninety ninety five , a hundred and ten a hundred and ten to my right one ten is offered and selling for one hundred and ten pounds .	0.7076202165102523	True	False
22	Five two three , I beg your pardon .	0.6591915035765388	True	False
23	I beg your pardon ?	0.6884310408796634	True	False
24	If he were simply bored , I should have thought , begging your pardon , that he could have found an occupation rather more civilized than grease-monkeying in Swindon — ’	0.5941743324727153	True	True
25	I beg your pardon John .	0.6768669859079577	True	True
26	I beg your pardon .	0.6873093443505582	True	True
27	I beg your pardon ?	0.6884310408796634	True	False
28	I beg your pardon ? ’	0.6789016206042855	True	False
29	‘ I beg your pardon ? ’ said Dolly haughtily .	0.6368059524379248	True	True
30	And , of course , as children erm , er so I think I can speak for the rest of the children around the base , the erm cigarettes , er not cigarettes , beg your pardon	0.5934119993134654	True	False
31	‘ I beg pardon , sir ?	0.6336786324212635	True	False
32	These Metropolitan County Councils erm I beg Your Lordships pardon , these Metropolitan County Authorities are composed entirely of councillors , representative districts and magistrates .	0.6016654845770816	True	True
33	With distant astonishment at her own efficiency , she heard her voice saying very clearly and reasonably : ‘ I do beg your pardon , but I came to you as the nearest house .	0.5719296298052965	True	True
34	‘ I beg your pardon !	0.681814911318635	True	True
35	‘ I beg your pardon , but you have n't seen one of my senior pupils around anywhere , by any chance ?	0.5917327874212003	True	True
36	‘ I beg your pardon ? ’	0.67695606408912	True	True
37	‘ I beg your pardon ?	0.6852711260667455	True	True
38	Sorry , beg your pardon , slip of the tongue , it 's six thousand .	0.6036652261579877	True	False
39	""" Not at all , I do beg your pardon , I 'll find you here , come with me . """	0.5730520957593717	True	True
40	I beg your pardon it 's good in n it ?	0.6338226978238797	True	True
41	Oh I beg your pardon .	0.6770848259172392	True	False
42	‘ I beg your pardon . ’	0.6730617044205656	True	True
43	‘ I beg your pardon ? ’	0.67695606408912	True	True
44	‘ I beg your pardon ? ’	0.67695606408912	True	True
45	Tells you all about where we do our erm oh er beg your pardon four day training of course I should 've	0.5772339149367904	True	True
46	Four beg your pardon .	0.6903626248164115	True	False
47	If you compare the the positions one oh beg your pardon you 'll need that out .	0.5984276840669566	True	False
48	Oh I beg your pardon .	0.6770848259172392	True	False
49	I beg your pardon I beg your pardon twelve , these two things were separate you know one could be added to the other in looking an as it were at the total employment requirement .	0.5672448860433291	True	False
50	‘ I beg your pardon ? ’	0.67695606408912	True	True
51	I beg your pardon ?	0.6884310408796634	True	False
