	Sentence	Unsupervised Metric	Classification
0	I beg your pardon ?	0.4047379510305441	True
1	‘ I beg your pardon ? ’	0.4238629123481164	True
2	‘ I beg your pardon ? ’	0.4238629123481164	True
3	‘ I beg your pardon , sir , Williams is not here at the moment .	0.5461297825027425	True
4	‘ I beg your pardon ? ’	0.4238629123481164	True
5	‘ Beg your pardon , miss .	0.44492194456672157	True
6	How the deuce — I beg your pardon , my love — do you manage to do it , Auguste ? ’	0.5780490075730346	True
7	‘ I beg your pardon ? ’	0.4238629123481164	True
8	‘ Yes , my lord — beg pardon , Mr Smith !	0.5440481759991104	True
9	I beg your pardon .	0.4066074452457193	True
10	‘ I beg your pardon ? ’	0.4238629123481164	True
11	The Bridgenorse , Bridgenorth I beg your pardon initiative is proceeding er , in terms of an advisory group , and we have as a committee , a Councillor Tony , a regional member , recently take , took the place of er , Councillor on that group , and he is willing to continue .	0.544276742631713	True
12	‘ I beg your pardon ? ’	0.4238629123481164	True
13	Begging your pardon , Sir , but some of those alleged artists that get feted on BBC Two could paint no better than a monkey in the zoo .	0.5574768066298906	True
14	I beg your pardon ?	0.4047379510305441	True
15	I it 's oh it 's a nice noise , I beg your pardon .	0.5202719114267494	True
16	I do beg your pardon	0.40652575128177015	True
17	Oh I beg your pardon .	0.42364830930125114	True
18	As soon as that , beg your pardon .	0.45847496518849357	True
19	I can not get around now as I was once able to for my newspapers — but I stick to my policy now , as then , of wanting to see and size up would-be advertisers beforehand , so beg the pardon of the newcomers not included in my list .	0.5058539116618522	True
20	Was she begging his pardon ?	0.39598652815269664	True
21	Er Lot number eighty five number eighty five is the jade pendant Lot number eighty fi er Lot number eighty five , beg your pardon , it 's a vase there we are , the vase is showing for seventy pounds , at seventy , seventy five , eighty pounds at eighty pounds , eighty five , ninety ninety five , a hundred and ten a hundred and ten to my right one ten is offered and selling for one hundred and ten pounds .	0.3727559916462293	True
22	Five two three , I beg your pardon .	0.4534705132024184	True
23	I beg your pardon ?	0.4047379510305441	True
24	If he were simply bored , I should have thought , begging your pardon , that he could have found an occupation rather more civilized than grease-monkeying in Swindon — ’	0.561832465042124	True
25	I beg your pardon John .	0.42401137598338695	True
26	I beg your pardon .	0.4066074452457193	True
27	I beg your pardon ?	0.4047379510305441	True
28	I beg your pardon ? ’	0.4206203181561738	True
29	‘ I beg your pardon ? ’ said Dolly haughtily .	0.4907797651001083	True
30	And , of course , as children erm , er so I think I can speak for the rest of the children around the base , the erm cigarettes , er not cigarettes , beg your pardon	0.5631030203075408	True
31	‘ I beg pardon , sir ?	0.49599196512787724	True
32	These Metropolitan County Councils erm I beg Your Lordships pardon , these Metropolitan County Authorities are composed entirely of councillors , representative districts and magistrates .	0.5493472115348471	True
33	With distant astonishment at her own efficiency , she heard her voice saying very clearly and reasonably : ‘ I do beg your pardon , but I came to you as the nearest house .	0.5989069694878223	True
34	‘ I beg your pardon !	0.415764833632258	True
35	‘ I beg your pardon , but you have n't seen one of my senior pupils around anywhere , by any chance ?	0.5659017067946492	True
36	‘ I beg your pardon ? ’	0.4238629123481164	True
37	‘ I beg your pardon ?	0.41000447571874066	True
38	Sorry , beg your pardon , slip of the tongue , it 's six thousand .	0.5460143089000036	True
39	""" Not at all , I do beg your pardon , I 'll find you here , come with me . """	0.597036192897697	True
40	I beg your pardon it 's good in n it ?	0.49575185612351685	True
41	Oh I beg your pardon .	0.42364830930125114	True
42	‘ I beg your pardon . ’	0.43035351179570713	True
43	‘ I beg your pardon ? ’	0.4238629123481164	True
44	‘ I beg your pardon ? ’	0.4238629123481164	True
45	Tells you all about where we do our erm oh er beg your pardon four day training of course I should 've	0.5900664942686656	True
46	Four beg your pardon .	0.4015186444692972	True
47	If you compare the the positions one oh beg your pardon you 'll need that out .	0.5547435457183888	True
48	Oh I beg your pardon .	0.42364830930125114	True
49	I beg your pardon I beg your pardon twelve , these two things were separate you know one could be added to the other in looking an as it were at the total employment requirement .	0.6067148757577678	False
50	‘ I beg your pardon ? ’	0.4238629123481164	True
51	I beg your pardon ?	0.4047379510305441	True
52	Can I put it another way to you , that if houses are provided for people who have migrated from West Yorkshire to North Yorkshire , that the failure to provide for employment of an equivalent level , because I well appreciate we are not going to stop Mr Laycock driving or commute I beg your pardon commuting each day from Harrogate to Leeds , that failure failure to provide an adequate level of employment for those new residents would be contrary to the advice in P P G twelve and P P G 14 about reducing the need to travel ?	0.46967283516632113	True
53	I beg your pardon , I twelve .	0.45775642807259703	True
54	""" I beg your pardon ? """	0.43107707258203315	True
55	""" I beg your pardon ? """	0.43107707258203315	True
56	‘ I beg your pardon ? ’	0.4238629123481164	True
57	I beg your pardon	0.3849001488722898	True
58	And they 'll they 'll anybody new in the estate agent in sta in staff terms they 'll let them look at that and say well that 's what Lynda 's here er sorry I beg your pardon	0.5491098861421528	True
59	Oh I beg your pardon the deposit cheque .	0.4789234653098536	True
60	Earle I beg your pardon , and I hesitate to raise any appeal decision .	0.5453529919996091	True
61	Beg your pardon .	0.3925074262283345	True
62	Beg your pardon ?	0.3921404767867454	True
63	Mm , beg your pardon	0.39450058893670814	True
64	Mr Farraday , however , simply looked up at me and said : ‘ I beg your pardon , Stevens ? ’	0.5564510893435984	True
65	sorry I saw it yes I beg your pardon , I 'm sorry	0.5418140415244911	True
66	‘ I beg your pardon ! ’	0.42843498908038385	True
