	Sentence	Unsupervised Metric	Classification
0	I beg your pardon ?	0.8588025240169266	False
1	‘ I beg your pardon ? ’	0.8082900596720647	False
2	‘ I beg your pardon ? ’	0.8082900596720647	False
3	‘ I beg your pardon , sir , Williams is not here at the moment .	0.6194486444252228	False
4	‘ I beg your pardon ? ’	0.8082900596720647	False
5	‘ Beg your pardon , miss .	0.813079146215326	False
6	How the deuce — I beg your pardon , my love — do you manage to do it , Auguste ? ’	0.6650667989310658	False
7	‘ I beg your pardon ? ’	0.8082900596720647	False
8	‘ Yes , my lord — beg pardon , Mr Smith !	0.5816658593937891	True
9	I beg your pardon .	0.8712871110557283	False
10	‘ I beg your pardon ? ’	0.8082900596720647	False
11	The Bridgenorse , Bridgenorth I beg your pardon initiative is proceeding er , in terms of an advisory group , and we have as a committee , a Councillor Tony , a regional member , recently take , took the place of er , Councillor on that group , and he is willing to continue .	0.26829794647019617	True
12	‘ I beg your pardon ? ’	0.8082900596720647	False
13	Begging your pardon , Sir , but some of those alleged artists that get feted on BBC Two could paint no better than a monkey in the zoo .	0.4683570056576268	True
14	I beg your pardon ?	0.8588025240169266	False
15	I it 's oh it 's a nice noise , I beg your pardon .	0.5609628416717679	True
16	I do beg your pardon	0.8190291092218286	False
17	Oh I beg your pardon .	0.8269551629871168	False
18	As soon as that , beg your pardon .	0.5790926503586179	True
19	I can not get around now as I was once able to for my newspapers — but I stick to my policy now , as then , of wanting to see and size up would-be advertisers beforehand , so beg the pardon of the newcomers not included in my list .	0.4310180394867171	True
20	Was she begging his pardon ?	0.7811141235721063	False
21	Er Lot number eighty five number eighty five is the jade pendant Lot number eighty fi er Lot number eighty five , beg your pardon , it 's a vase there we are , the vase is showing for seventy pounds , at seventy , seventy five , eighty pounds at eighty pounds , eighty five , ninety ninety five , a hundred and ten a hundred and ten to my right one ten is offered and selling for one hundred and ten pounds .	0.2494190563979511	True
22	Five two three , I beg your pardon .	0.5928104372731431	True
23	I beg your pardon ?	0.8588025240169266	False
24	If he were simply bored , I should have thought , begging your pardon , that he could have found an occupation rather more civilized than grease-monkeying in Swindon — ’	0.4049208078559114	True
25	I beg your pardon John .	0.8109329780443427	False
26	I beg your pardon .	0.8712871110557283	False
27	I beg your pardon ?	0.8588025240169266	False
