	Sentence	Unsupervised Metric	Classification	Gold Standard
0	I beg your pardon ?	0.4159922970878339	True	False
1	‘ I beg your pardon ? ’	0.44629977569475104	True	True
2	‘ I beg your pardon ? ’	0.44629977569475104	True	True
3	‘ I beg your pardon , sir , Williams is not here at the moment .	0.5596046248428561	True	True
4	‘ I beg your pardon ? ’	0.44629977569475104	True	True
5	‘ Beg your pardon , miss .	0.44342632376879426	True	True
6	How the deuce — I beg your pardon , my love — do you manage to do it , Auguste ? ’	0.5322337321393503	True	True
7	‘ I beg your pardon ? ’	0.44629977569475104	True	True
8	‘ Yes , my lord — beg pardon , Mr Smith !	0.5822742958617164	True	True
9	I beg your pardon .	0.40850154486455287	True	True
10	‘ I beg your pardon ? ’	0.44629977569475104	True	True
11	The Bridgenorse , Bridgenorth I beg your pardon initiative is proceeding er , in terms of an advisory group , and we have as a committee , a Councillor Tony , a regional member , recently take , took the place of er , Councillor on that group , and he is willing to continue .	0.7702950436158721	True	True
12	‘ I beg your pardon ? ’	0.44629977569475104	True	True
13	Begging your pardon , Sir , but some of those alleged artists that get feted on BBC Two could paint no better than a monkey in the zoo .	0.6502596081034138	True	True
14	I beg your pardon ?	0.4159922970878339	True	False
15	I it 's oh it 's a nice noise , I beg your pardon .	0.5946961064949291	True	False
16	I do beg your pardon	0.4398563459648927	True	False
17	Oh I beg your pardon .	0.4351007137057198	True	False
18	As soon as that , beg your pardon .	0.5838182212828191	True	True
19	I can not get around now as I was once able to for my newspapers — but I stick to my policy now , as then , of wanting to see and size up would-be advertisers beforehand , so beg the pardon of the newcomers not included in my list .	0.6726629878059596	True	True
20	Was she begging his pardon ?	0.4626053373547261	True	True
21	Er Lot number eighty five number eighty five is the jade pendant Lot number eighty fi er Lot number eighty five , beg your pardon , it 's a vase there we are , the vase is showing for seventy pounds , at seventy , seventy five , eighty pounds at eighty pounds , eighty five , ninety ninety five , a hundred and ten a hundred and ten to my right one ten is offered and selling for one hundred and ten pounds .	0.7816223776592193	True	False
22	Five two three , I beg your pardon .	0.575587549134104	True	False
23	I beg your pardon ?	0.4159922970878339	True	False
24	If he were simply bored , I should have thought , begging your pardon , that he could have found an occupation rather more civilized than grease-monkeying in Swindon — ’	0.688321326784443	True	True
25	I beg your pardon John .	0.4447140246713842	True	True
26	I beg your pardon .	0.40850154486455287	True	True
27	I beg your pardon ?	0.4159922970878339	True	False
28	I beg your pardon ? ’	0.42917770979894476	True	False
29	‘ I beg your pardon ? ’ said Dolly haughtily .	0.47891339230112184	True	True
30	And , of course , as children erm , er so I think I can speak for the rest of the children around the base , the erm cigarettes , er not cigarettes , beg your pardon	0.6656839622271244	True	False
31	‘ I beg pardon , sir ?	0.5374628413391197	True	False
