	Sentence	Unsupervised Metric	Classification	Gold Standard
0	I beg your pardon ?	0.36703263240260203	True	True
1	‘ I beg your pardon ? ’	0.12128188053871129	True	True
2	‘ I beg your pardon ? ’	0.12128188053871129	True	True
3	‘ I beg your pardon , sir , Williams is not here at the moment .	0.12128188053871129	True	True
4	‘ I beg your pardon ? ’	0.12128188053871129	True	True
5	‘ Beg your pardon , miss .	0.12128188053871129	True	True
6	How the deuce — I beg your pardon , my love — do you manage to do it , Auguste ? ’	0.12128188053871129	True	True
7	‘ I beg your pardon ? ’	0.12128188053871129	True	True
8	‘ Yes , my lord — beg pardon , Mr Smith !	0.02387764090245933	True	True
9	I beg your pardon .	0.3867183219889627	True	True
10	‘ I beg your pardon ? ’	0.12128188053871129	True	True
11	The Bridgenorse , Bridgenorth I beg your pardon initiative is proceeding er , in terms of an advisory group , and we have as a committee , a Councillor Tony , a regional member , recently take , took the place of er , Councillor on that group , and he is willing to continue .	0.18527482576269977	True	True
12	‘ I beg your pardon ? ’	0.12128188053871129	True	True
13	Begging your pardon , Sir , but some of those alleged artists that get feted on BBC Two could paint no better than a monkey in the zoo .	0.2792916867377201	True	True
14	I beg your pardon ?	0.36703263240260203	True	True
15	I it 's oh it 's a nice noise , I beg your pardon .	0.3153596291201331	True	True
16	I do beg your pardon	0.8786899176713804	False	True
17	Oh I beg your pardon .	0.38386652870601834	True	True
18	As soon as that , beg your pardon .	0.3566692138809234	True	True
19	I can not get around now as I was once able to for my newspapers — but I stick to my policy now , as then , of wanting to see and size up would-be advertisers beforehand , so beg the pardon of the newcomers not included in my list .	0.09222534174624894	True	True
20	Was she begging his pardon ?	0.3108308777605444	True	True
21	Er Lot number eighty five number eighty five is the jade pendant Lot number eighty fi er Lot number eighty five , beg your pardon , it 's a vase there we are , the vase is showing for seventy pounds , at seventy , seventy five , eighty pounds at eighty pounds , eighty five , ninety ninety five , a hundred and ten a hundred and ten to my right one ten is offered and selling for one hundred and ten pounds .	0.16088894151967384	True	False
22	Five two three , I beg your pardon .	0.3242939298616245	True	True
23	I beg your pardon ?	0.36703263240260203	True	True
24	If he were simply bored , I should have thought , begging your pardon , that he could have found an occupation rather more civilized than grease-monkeying in Swindon — ’	0.10057670996618454	True	True
25	I beg your pardon John .	0.36348010704486694	True	True
26	I beg your pardon .	0.3867183219889627	True	True
27	I beg your pardon ?	0.36703263240260203	True	True
28	I beg your pardon ? ’	0.12128188053871129	True	True
29	‘ I beg your pardon ? ’ said Dolly haughtily .	0.12128188053871129	True	True
30	And , of course , as children erm , er so I think I can speak for the rest of the children around the base , the erm cigarettes , er not cigarettes , beg your pardon	0.6420575737822551	False	True
31	‘ I beg pardon , sir ?	0.02387764090245933	True	True
32	These Metropolitan County Councils erm I beg Your Lordships pardon , these Metropolitan County Authorities are composed entirely of councillors , representative districts and magistrates .	0.25182653789915044	True	True
33	With distant astonishment at her own efficiency , she heard her voice saying very clearly and reasonably : ‘ I do beg your pardon , but I came to you as the nearest house .	0.12128188053871129	True	True
34	‘ I beg your pardon !	0.12128188053871129	True	True
35	‘ I beg your pardon , but you have n't seen one of my senior pupils around anywhere , by any chance ?	0.12128188053871129	True	True
36	‘ I beg your pardon ? ’	0.12128188053871129	True	True
37	‘ I beg your pardon ?	0.12128188053871129	True	True
38	Sorry , beg your pardon , slip of the tongue , it 's six thousand .	0.268265923476294	True	True
39	""" Not at all , I do beg your pardon , I 'll find you here , come with me . """	0.14080093377555605	True	True
40	I beg your pardon it 's good in n it ?	0.27909981390424743	True	True
41	Oh I beg your pardon .	0.38386652870601834	True	True
42	‘ I beg your pardon . ’	0.12128188053871129	True	True
43	‘ I beg your pardon ? ’	0.12128188053871129	True	True
44	‘ I beg your pardon ? ’	0.12128188053871129	True	True
45	Tells you all about where we do our erm oh er beg your pardon four day training of course I should 've	0.34437666940533035	True	True
46	Four beg your pardon .	0.3988607587923358	True	True
47	If you compare the the positions one oh beg your pardon you 'll need that out .	0.27725776742302816	True	True
48	Oh I beg your pardon .	0.38386652870601834	True	True
49	I beg your pardon I beg your pardon twelve , these two things were separate you know one could be added to the other in looking an as it were at the total employment requirement .	0.3140839908989652	True	True
50	‘ I beg your pardon ? ’	0.12128188053871129	True	True
51	I beg your pardon ?	0.36703263240260203	True	True
52	Can I put it another way to you , that if houses are provided for people who have migrated from West Yorkshire to North Yorkshire , that the failure to provide for employment of an equivalent level , because I well appreciate we are not going to stop Mr Laycock driving or commute I beg your pardon commuting each day from Harrogate to Leeds , that failure failure to provide an adequate level of employment for those new residents would be contrary to the advice in P P G twelve and P P G 14 about reducing the need to travel ?	0.20105513667453803	True	True
53	I beg your pardon , I twelve .	0.3017161440680869	True	True
54	""" I beg your pardon ? """	0.19397129588705886	True	True
55	""" I beg your pardon ? """	0.19397129588705886	True	True
56	‘ I beg your pardon ? ’	0.12128188053871129	True	True
57	I beg your pardon	0.8920184119949363	False	True
58	And they 'll they 'll anybody new in the estate agent in sta in staff terms they 'll let them look at that and say well that 's what Lynda 's here er sorry I beg your pardon	0.6519270982393487	False	True
59	Oh I beg your pardon the deposit cheque .	0.33161045507702713	True	True
60	Earle I beg your pardon , and I hesitate to raise any appeal decision .	0.28773606213654024	True	True
61	Beg your pardon .	0.45775150334913034	True	True
62	Beg your pardon ?	0.43384466689261036	True	True
63	Mm , beg your pardon	0.8917901436929057	False	True
64	Mr Farraday , however , simply looked up at me and said : ‘ I beg your pardon , Stevens ? ’	0.12128188053871129	True	True
65	sorry I saw it yes I beg your pardon , I 'm sorry	0.4495288450648703	True	True
66	‘ I beg your pardon ! ’	0.12128188053871129	True	True
67	‘ I beg your pardon ? ’	0.12128188053871129	True	True
68	‘ I beg your pardon , Miss Kenton ? ’	0.12128188053871129	True	True
69	‘ I beg your pardon , Miss Kenton ? ’	0.12128188053871129	True	True
70	‘ Oh , I do beg your pardon , sir . ’	0.12128188053871129	True	True
71	‘ I beg your pardon . ’	0.12128188053871129	True	True
72	I beg your pardon .	0.3867183219889627	True	True
73	right so it 's for the half year sorry , beg your pardon five million half year	0.36787962806813834	True	True
74	Or put Xs , I beg his pardon , put Xs against three sectors ?	0.20272238069854182	True	True
75	Can you Beg you pardon	0.8703051700712006	False	True
76	‘ I beg your pardon ? ’	0.12128188053871129	True	True
77	‘ I beg your pardon ? ’	0.12128188053871129	True	True
78	‘ Then I beg your pardon , sir . ’	0.12128188053871129	True	True
79	‘ I beg your pardon , Miss Marlowe .	0.12128188053871129	True	True
80	‘ I beg your pardon .	0.12128188053871129	True	True
81	‘ I beg your pardon ? ’	0.12128188053871129	True	True
82	‘ I beg your pardon ? ’ gasped Theda , rising from her chair .	0.12128188053871129	True	True
83	‘ I — I beg your pardon , ’ faltered the ghost .	0.12128188053871129	True	True
84	‘ Oh , I beg your pardon , Rose .	0.12128188053871129	True	True
85	‘ I do beg your pardon — Mizz Butcher — would you come with me , please ? ’	0.12128188053871129	True	True
86	‘ I beg your pardon ?	0.12128188053871129	True	True
87	I beg her pardon	0.8459911222575001	False	True
88	‘ Begging your pardon , Senator , but unearned wealth does not seem to have made McAllister — I mean Sally-Anne , you understand — happy . ’	0.10057670996618454	True	True
89	‘ I beg your pardon .	0.12128188053871129	True	True
90	‘ Begging your pardon again , sir .	0.10057670996618454	True	True
91	They will be restoring Dunblaine Castle — unless Havvie spends the lot on loose women , drink and gambling — begging your pardon for being frank , McAllister .	0.10057670996618454	True	True
92	‘ I beg your pardon , ladies !	0.12128188053871129	True	True
93	Wilson , writing to Mr Browning to report how his self-imposed charge fared , expressed the opinion that — he is not exactly mad , sir , begging your pardon , as unable to remember himself .	0.10057670996618454	True	True
94	She begged pardon at once for — being so free as to presume I will be read but then , ma'am , you must blame yourself for encouraging in me that letter-writing soul .	0.012364652463859486	True	True
95	He folded his arms , yawned , begged their pardon and smiled .	0.2422443305098575	True	True
96	No , beg your pardon !	0.38967990596095314	True	True
97	I beg your pardon ?	0.36703263240260203	True	True
98	I beg the hon. Gentleman 's pardon .	0.5357699468967088	True	True
99	‘ I beg your pardon .	0.12128188053871129	True	True
100	‘ I beg your pardon ? ’	0.12128188053871129	True	True
101	Oh I beg your pardon then .	0.35296203463994436	True	True
102	‘ I beg your pardon .	0.12128188053871129	True	True
103	‘ I beg your pardon , but I can not ! ’	0.12128188053871129	True	True
104	‘ I beg your pardon , Rose , ’ she managed , a faint smile crossing her face .	0.12128188053871129	True	True
105	‘ I beg your pardon .	0.12128188053871129	True	True
106	‘ I beg your pardon , Mr Beckenham , but I am , you will recall , Miss Kyte 's man of business in her new capacity . ’	0.12128188053871129	True	True
107	He would return to her , to beg her pardon for so basely misjudging her , and they would find again the former ease of friendship , the lack of which now gaped in her life like an open wound .	0.16306645225627628	True	True
108	‘ I beg your pardon ? ’ she queried weakly .	0.12128188053871129	True	True
109	‘ I beg your pardon . ’	0.12128188053871129	True	True
110	‘ I beg your pardon if I seemed ungracious .	0.12128188053871129	True	True
111	‘ I beg your pardon , but who are you ? ’	0.12128188053871129	True	True
112	‘ I beg your pardon , ma'am .	0.12128188053871129	True	True
113	‘ I beg your pardon , ma'am ? ’	0.12128188053871129	True	True
114	‘ I beg your pardon , Miss Merchiston , ’ Theda began in the subservient tone of un underling , for there was no point in drawing Araminta 's fire .	0.12128188053871129	True	True
115	‘ I have only to beg your pardon , Miss Kyte , and confess that I entirely misread the situation .	0.12128188053871129	True	True
116	‘ I beg your pardon , Mrs Diggory , ’ she said contritely .	0.12128188053871129	True	True
117	you know this is the sort of thing and really , you know , sort of cropped hair and enormous moustaches like yard brushes , or this is the story that was told to me , and , and then there was this , all this , all this chortling about why their moustaches were so lubricant , oh yes , er so , so luxurious er rather , I beg your pardon , and erm	0.32115152042727285	True	True
118	Ah I beg oh I beg your pardon in that case erm	0.47629679967939903	True	True
119	‘ I beg your pardon , ’ he said mockingly .	0.12128188053871129	True	True
120	‘ I beg your pardon ? ’	0.12128188053871129	True	True
121	‘ I beg yer pardon , ’ said Mr Thatcher in amazement .	0.051500961265353494	True	True
122	‘ I beg your pardon , Madam …	0.12128188053871129	True	True
123	He paused , bowed towards Elsa and said , ‘ I do beg your pardon .	0.12128188053871129	True	True
124	‘ I beg your pardon , sir .	0.12128188053871129	True	True
